Job title,Company name,Company address,Job description,Job details,Jobrequirements,Links
Senior Python Django Developer,Mentor Seven -,"New Cairo, Cairo, Egypt",Full Time Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · Python Django · Software Development · Information Technology (IT) · ORM · Telecom Engineering, Experience Needed:More Than 3 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:10000 To 15000 EGP Per MonthJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:Computer ScienceDjangoPythonPython DjangoSoftware DevelopmentInformation Technology (IT)ORMTelecom Engineering,"Requirements:At least 3 Years of experienceAt least 2 Years of Experience in PostgreSQLKnowledge of object-relational mapping (ORM)Expert knowledge of Python and related frameworks including Django and DjangoRestFrameworkStrong Knowledge of multi-language projectsReprogramming existing databases to improve functionality.Developing digital tools to monitor online traffic.Gathering and evaluating user requirements, in collaboration with product managers and engineersPortfolio of live projectsBSc in Computer Science or relevant field",https://wuzzuf.net/jobs/p/cwxs7KB0EFeK-Senior-Python-Django-Developer-Mentor-Seven-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt",Full Time Work From Home Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT)," Experience Needed:2 To 5 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:Confidential, Hourly BasedJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:PythonFlaskGitMicroservice ArchitectureRelational DatabasesDesign PatternsEnglishInformation Technology (IT)Computer ScienceProgrammingSoftware DevelopmentOOPGithubTroubleshooting",Knowledge of algorithms and data structures and design patterns.Strong analytical and reasoning skills with an ability to visualize processes and outcomes.Proficiency in troubleshooting software issues and debugging a large codebase.A passion for solving problems and providing workable solutions.Python. (OOP & functional programming paradigms & MicroService Architecture preferably Flask)GIT using Github. ( basic commands and branching models)Serverless (conceptual).Proficiency in relational DB design and performance improvement.English fluency is a must.,https://wuzzuf.net/jobs/p/ZS2AZ15Zb6gT-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Senior / Mid Senior Python (Django) Developer,InnovaDigits -,"Mansoura, Dakahlia, Egypt",Full Time Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · AWS · Docker · Software Development · Information Technology (IT) · MySQL," Experience Needed:More Than 5 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:Confidential, - Medical InsuranceJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:Computer ScienceDjangoPythonAWSDockerSoftware DevelopmentInformation Technology (IT)MySQLProgrammingSoftwareJavaPostgreSQL","What are the Requirements?More than 5 years of experience in Python (Django)Good to have experience in one of the programming languages like GoLang, RoR, Java, PHPExperience with common monitoring / alerting / logging tools such as Prometheus, New Relic, Datadog, and Sentry.You’ve built complex, high-quality applications, and have a strong knowledge of Domain Driven Design.You’re proficient in selecting from best practice Design Patterns and Design Principles when building Software Architectures and Algorithms.Good knowledge of databases (like MySQL, PostgreSQL, and NoSQL) and should be aware of normal forms, ACID, isolation levels, and index anatomy.Flexible and comfortable working in a multicultural environment.Familiar with the following; Docker & Kubernetes, GCP, AWS, and caching.Experienced using TDD approach during development.Willingness to learn new programming languages and technologies.Good to have knowledge of Kubernetes, GCP, and AWS",https://wuzzuf.net/jobs/p/rpANthPLGT2M-Senior-Mid-Senior-Python-Django-Developer-InnovaDigits-Dakahlia-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Python Developer for Sports Statistics.,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt",Full Time Work From Home Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ETL · Python · SQL · Information Technology (IT), Experience Needed:4 To 6 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:25000 To 35000 EGP Per MonthJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:Computer ScienceETLPythonSQLInformation Technology (IT),"Requirements:Hands-on experience in Python, especially in the development of ETL pipelines and/or APIsDeep knowledge of SQL Server, or another relational database, and strong data modeling skillsWillingness to dig into legacy code in order to troubleshoot issues and understand requirements for the new things we build5+ years of professional experience working in a modern product/engineering-focused organizationCommunication skills that allow one to partner directly with products, internal customers, and clients to determine requirements, trade-offs, and goalsExperience leading complicated data migrationsExperience deploying apps on AzureBackground working in B2B environments will be a plus",https://wuzzuf.net/jobs/p/d3zIKes35LZX-Python-Developer-for-Sports-Statistics-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Stackzy -,"6th of October, Giza, Egypt",Full Time Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Databases · Software Development · Data Processing · airflow · Cloud · Computer Science, Experience Needed:2 To 4 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:ConfidentialJob Categories:Installation/Maintenance/RepairIT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:PythonDatabasesSoftware DevelopmentData ProcessingairflowCloudComputer ScienceEngineeringInformation Technology (IT)MongoDBMySQLSoftwareSoftware EngineeringTestingUnit Testing,"BS/MS degree in Computer Science, Engineering, or a related subjectStrong understanding of object-oriented programmingProficient understanding of code versioning tools, such as GitEfficient with data transformation/processing in python using e.g.: pandas data frames.Good understanding of cloud-native software architecture and data orchestrationGood understanding of data pipelines and workflow managements tools e.g.: Apache Airflow, Flyte.Hands-on working with different databases e.g.: MySQL, MongoDB.Good understanding of unit testing and clean code standards.",https://wuzzuf.net/jobs/p/k7LetgYe0WZg-Senior-Python-Developer-Stackzy-Giza-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Python Backend Developer,Bydotpy -,"New Cairo, Cairo, Egypt",Full Time Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · RESTful API · Computer Science · Computer Engineering · Software Development · Information Technology (IT), Experience Needed:More Than 5 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:ConfidentialJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:PythonDjangoFlaskRESTful APIComputer ScienceComputer EngineeringSoftware DevelopmentInformation Technology (IT)Software EngineeringTestingFrameworks,"Management of hosting environment, including database administration and scaling an application to support load changes.Bachelor's degree in Computer Science, Computer Engineering, or related field.5+ years of experience as a Python Developer.Expert knowledge of Python and related frameworks including Django and Flask.A deep understanding and multi-process architecture and the threading limitations of Python.Ability to integrate multiple data sources into a single system.Familiarity with testing tools.work condition :5 working days: Sunday to Thursdayworking hours 10 to 6on-sitebenefits:social insurancemedical insurance",https://wuzzuf.net/jobs/p/A1z5DK0essUs-Python-Backend-Developer-Bydotpy-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt",Full Time Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Linux · Information Technology (IT) · SQL · jQuery · Programming," Experience Needed:2 To 5 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:Confidential, Medical & Social & Life Insurance - Monthly Or Annually Variable Incentive - Transportation AllowanceJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:PythonComputer ScienceMySQLLinuxInformation Technology (IT)SQLjQueryProgrammingJavaScriptRESTHTML5CSS3Software DevelopmentEngineering","BSC in Computer Science or any related fieldExperience programming using python language (virtualenv, package management, performance analysis)Good linux OS understanding and basic usage.Good process management programming on linux (threading, signals, sockets…), and peripherals control (serial port, GPIO..)Good SQL knowledge and database servers (MySQL, sqlite3...)Good networking understanding and troubleshooting (TCP/IP, IPv4/6, DNS, DHCP, NTP, FTP …)Good web services programming and understanding (sockets, HTTP, REST, SOAP, ...)C/C++ programming/developing (is a plus).Web UI programming skills (jquery/javascript, HTML5, CSS3, …) (is a plus).Familiar with standard web servers (Apache, Nginx ...)",https://wuzzuf.net/jobs/p/ohFtakW4EZWa-Senior-Python-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt",Full Time Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design, Experience Needed:1 To 2 YearsCareer Level:Entry Level (Junior Level / Fresh Grad)Education Level:Bachelor'S DegreeSalary:ConfidentialJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:OdooMVCInformation Technology (IT)Computer SciencePythonSoftware DevelopmentCSSDesignDjangoGitHTMLJavaScriptTelecom Engineering,"1-2 years of experience.The candidate will demonstrate proficiency in both front-end and back-end development.The candidate must have created a range of apps, [preferably] using Python framework like Django, Flask, Odoo, and other frameworks.Typically, a Python developer who was top of his class and has enterprise applications development in his genes.Understanding and experience of design patterns.Front-end and Back-end programming experience.Excellent knowledge in object- oriented programming.Knowledge of functional programming.Must have knowledge of JavaScript, HTML, CSS, etc.Must have knowledge of MVC architectural pattern.Handy with Git protocol.Prior contribution open-source projects, is a plus.Deep understanding of open-source licenses and their differences is a plus.Accounting knowledge is an advantage.Odoo experience is an advantage.",https://wuzzuf.net/jobs/p/TEXsA8hxgzA7-Python-Developer-OdooTec-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Senior Python / Django Developer,RDI -,"Dokki, Giza, Egypt",Full Time Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs, Experience Needed:More Than 2 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:ConfidentialJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:DjangoPythonMySQLGITDockerjavaScriptAngularRESTful APIsInformation Technology (IT)Computer ScienceLinuxSoftware EngineeringSoftware DevelopmentTelecom Engineering,"Requirements:2+ years of on-the-job software engineering experience.Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.)Knowledge of how to build and use RESTful APIs.Experience with modern JavaScript frameworks such as React.Proficiency using industry standard 3rd party tools such as Docker.Strong knowledge of version control (git).Experience deploying Python applications into production.Understanding of the threading limitations of Python, and multi-process architecture.Knowledge of user authentication and authorization between multiple systems, servers, and environments.Strong unit test and debugging skills.Google Cloud Platform (GCP) knowledge is a plus.Experience working in Linux environments and basic shell is a plus.",https://wuzzuf.net/jobs/p/4yZylKxIEYZb-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Trufla -,"Heliopolis, Cairo, Egypt",Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST, Experience Needed:More Than 4 YearsCareer Level:Experienced (Non-Manager)Education Level:Bachelor'S DegreeSalary:ConfidentialJob Categories:IT/Software DevelopmentEngineering - Telecom/TechnologySkills And Tools:AgileAPIsAWSComputer ScienceGitLinuxPythonRESTSoftware DevelopmentSoftware EngineeringSQLInformation Technology (IT),"Job QualificationsMore than 4 years of experience.Solid experience with Python.A committed person who is eager to learn.Good understanding of algorithms, data structures, and complexity.Solid experience with Django, Flask or other Python web frameworks.Familiarity with Amazon Web Services (AWS).Familiarity with containerization concepts (e.g. Docker and Kubernetes).Good understanding of CI/CD.Familiar with Agile project management methodologies.Experience in databases and SQL \/ NoSQL databases.You have deployed Python applications to production.Experience with consuming and build REST APIs.Good understanding of code versioning tools such as Git.Familiarity with Linux.Mentor intermediates and juniorsBuild data systems and pipelines is a PlusCombine raw information from different sources is a PlusTrufla Technology is an equal opportunity employer and is committed to all forms of diversity in the workplace. All qualified individuals are encouraged to apply.Do you think we match? Apply Now!If you get what it takes, apply to the job through the ""Apply Now"" button above.*After applying, complete your application by taking the required assessment below:https://assessment.testgorilla.com/testtaker/publicinvitation/185c7910-887b-49bb-96d2-d494b8fcc45c",https://wuzzuf.net/jobs/p/6Yzv3ZC4RcGO-Senior-Python-Developer-Trufla-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
